,user,text,favorite_count,retweet_count,created_at
54,ChennaiIPL,"White Ball Carnival 🆚 Kiwis 
Whites Outing 🆚 Aussies! 

All Squad Assemble! 🇮🇳🥳

#WhistlePodu 🦁💛 https://t.co/XnapgUdXDs",974,81,2023-01-13 17:26:03+00:00
55,ChennaiIPL,"Young bunch and big hopes! 🤩
Go well, girls! 🇮🇳

#Whistle4Blue #U19T20WorldCup https://t.co/ED3TFViJCX",2032,99,2023-01-13 13:01:59+00:00
56,ChennaiIPL,"Sending whistles all the way from Anbuden! 🥳
#WhistleForJoburg https://t.co/gNCNVXwJR2",1304,85,2023-01-13 11:04:21+00:00
57,ChennaiIPL,"Happy Trails ft. Stokesy's Super Fam!

#WhistlePodu #Yellove 🦁 https://t.co/dTTjcVl1Rz",5535,195,2023-01-13 10:31:18+00:00
58,ChennaiIPL,"Captain Santa is coming to town! 🎅🔜

#INDvNZ #WhistlePodu 🦁💛 https://t.co/9EVtrrbKfs",4002,154,2023-01-13 05:28:12+00:00
59,ChennaiIPL,"To the one keeping our lions hale and healthy! Super Birthday, Dr. Madhu! 🥳

#SuperBirthday #WhistlePodu 🦁💛 @itsmadhu https://t.co/MRSCgE0iDL",1434,83,2023-01-13 04:14:46+00:00
60,ChennaiIPL,"Driving from the front! 💪🏻
#INDvSL #WhistlePodu 🦁💛 https://t.co/LLUdpx7ZQb",3425,141,2023-01-12 15:47:04+00:00
61,ChennaiIPL,"On the move with the 2-0! 🇮🇳🥳

#INDvSL #WhistlePodu 🦁💛
📸: @BCCI https://t.co/cSHL2HMamZ",1838,99,2023-01-12 15:30:17+00:00
62,ChennaiIPL,"As the blues strike the ball down the track, we’ll be sure to #WhistleForIndia #HockeyWorldCup 🇮🇳🏑 https://t.co/goWBrXU3OE",1480,89,2023-01-12 13:28:30+00:00
63,ChennaiIPL,"Tantalising spin &amp; speed combo at Eden Gardens! 3️⃣💥

#INDvSL #WhistlePodu 🦁💛 https://t.co/746Z54cSuN",1804,90,2023-01-12 11:46:53+00:00
64,ChennaiIPL,"Plans in place! Eyes on target! 
🎯2️⃣1️⃣6️⃣

#INDvSL #WhistlePodu 🦁💛
📸: @BCCI https://t.co/dzzHCjtYyr",1574,81,2023-01-12 11:32:00+00:00
65,ChennaiIPL,"A golden globe for the Centurion of Karachi! 🦁

#PAKvNZ #WhistlePodu #Yellove 🦁💛 https://t.co/04NhRbiDsv",4927,162,2023-01-12 07:30:04+00:00
